Region,Airtime top-up,Bill payment,Bulk disbursement,Cash-in,Cash-out,International remittance,Merchant payment,P2P transfer
Northern Africa,111347912,160953675,3333757,1526082743,959205511,1103342,311117024,7278491183
Eastern Africa,4247425201,60374210782,59957891032,151462435430,83841650916,9733075892,48326080634,230793170693
Middle Africa,2139854334,1083219883,991575739,29538801452,25017168623,1661727104,5423422967,17088573984
Southern Africa,116316047,177008755,116692333,1811089336,1691718062,103845296,352938600,1920232008
Western Africa,5343598265,3591008942,2775764022,84008344972,99482841202,12252986103,15236370743,134250636327
